t_idx,timestamp
471,2016-01-20 15:00:00
472,2016-01-20 16:00:00
473,2016-01-20 17:00:00
474,2016-01-20 18:00:00
475,2016-01-20 19:00:00
476,2016-01-20 20:00:00
477,2016-01-20 21:00:00
478,2016-01-20 22:00:00
479,2016-01-20 23:00:00
480,2016-01-21 00:00:00
481,2016-01-21 01:00:00
482,2016-01-21 02:00:00
483,2016-01-21 03:00:00
484,2016-01-21 04:00:00
485,2016-01-21 05:00:00
486,2016-01-21 06:00:00
487,2016-01-21 07:00:00
488,2016-01-21 08:00:00
489,2016-01-21 09:00:00
490,2016-01-21 10:00:00
491,2016-01-21 11:00:00
492,2016-01-21 12:00:00
493,2016-01-21 13:00:00
494,2016-01-21 14:00:00
495,2016-01-21 15:00:00
496,2016-01-21 16:00:00
497,2016-01-21 17:00:00
498,2016-01-21 18:00:00
499,2016-01-21 19:00:00
500,2016-01-21 20:00:00
501,2016-01-21 21:00:00
502,2016-01-21 22:00:00
503,2016-01-21 23:00:00
504,2016-01-22 00:00:00
505,2016-01-22 01:00:00
506,2016-01-22 02:00:00
507,2016-01-22 03:00:00
508,2016-01-22 04:00:00
509,2016-01-22 05:00:00
510,2016-01-22 06:00:00
511,2016-01-22 07:00:00
512,2016-01-22 08:00:00
513,2016-01-22 09:00:00
514,2016-01-22 10:00:00
515,2016-01-22 11:00:00
516,2016-01-22 12:00:00
517,2016-01-22 13:00:00
518,2016-01-22 14:00:00
519,2016-01-22 15:00:00
520,2016-01-22 16:00:00
521,2016-01-22 17:00:00
522,2016-01-22 18:00:00
523,2016-01-22 19:00:00
524,2016-01-22 20:00:00
525,2016-01-22 21:00:00
526,2016-01-22 22:00:00
527,2016-01-22 23:00:00
528,2016-01-23 00:00:00
529,2016-01-23 01:00:00
530,2016-01-23 02:00:00
531,2016-01-23 03:00:00
532,2016-01-23 04:00:00
533,2016-01-23 05:00:00
534,2016-01-23 06:00:00
535,2016-01-23 07:00:00
536,2016-01-23 08:00:00
537,2016-01-23 09:00:00
538,2016-01-23 10:00:00
539,2016-01-23 11:00:00
540,2016-01-23 12:00:00
541,2016-01-23 13:00:00
542,2016-01-23 14:00:00
543,2016-01-23 15:00:00
544,2016-01-23 16:00:00
545,2016-01-23 17:00:00
546,2016-01-23 18:00:00
547,2016-01-23 19:00:00
548,2016-01-23 20:00:00
549,2016-01-23 21:00:00
550,2016-01-23 22:00:00
551,2016-01-23 23:00:00
552,2016-01-24 00:00:00
553,2016-01-24 01:00:00
554,2016-01-24 02:00:00
555,2016-01-24 03:00:00
556,2016-01-24 04:00:00
557,2016-01-24 05:00:00
558,2016-01-24 06:00:00
559,2016-01-24 07:00:00
560,2016-01-24 08:00:00
561,2016-01-24 09:00:00
562,2016-01-24 10:00:00
563,2016-01-24 11:00:00
564,2016-01-24 12:00:00
565,2016-01-24 13:00:00
566,2016-01-24 14:00:00
567,2016-01-24 15:00:00
568,2016-01-24 16:00:00
569,2016-01-24 17:00:00
570,2016-01-24 18:00:00
571,2016-01-24 19:00:00
572,2016-01-24 20:00:00
573,2016-01-24 21:00:00
574,2016-01-24 22:00:00
575,2016-01-24 23:00:00
576,2016-01-25 00:00:00
577,2016-01-25 01:00:00
578,2016-01-25 02:00:00
579,2016-01-25 03:00:00
580,2016-01-25 04:00:00
581,2016-01-25 05:00:00
582,2016-01-25 06:00:00
583,2016-01-25 07:00:00
584,2016-01-25 08:00:00
585,2016-01-25 09:00:00
586,2016-01-25 10:00:00
587,2016-01-25 11:00:00
588,2016-01-25 12:00:00
589,2016-01-25 13:00:00
590,2016-01-25 14:00:00
591,2016-01-25 15:00:00
592,2016-01-25 16:00:00
593,2016-01-25 17:00:00
594,2016-01-25 18:00:00
595,2016-01-25 19:00:00
596,2016-01-25 20:00:00
597,2016-01-25 21:00:00
598,2016-01-25 22:00:00
599,2016-01-25 23:00:00
600,2016-01-26 00:00:00
601,2016-01-26 01:00:00
602,2016-01-26 02:00:00
603,2016-01-26 03:00:00
604,2016-01-26 04:00:00
605,2016-01-26 05:00:00
606,2016-01-26 06:00:00
607,2016-01-26 07:00:00
608,2016-01-26 08:00:00
609,2016-01-26 09:00:00
610,2016-01-26 10:00:00
611,2016-01-26 11:00:00
612,2016-01-26 12:00:00
613,2016-01-26 13:00:00
614,2016-01-26 14:00:00
615,2016-01-26 15:00:00
616,2016-01-26 16:00:00
617,2016-01-26 17:00:00
618,2016-01-26 18:00:00
619,2016-01-26 19:00:00
620,2016-01-26 20:00:00
621,2016-01-26 21:00:00
622,2016-01-26 22:00:00
623,2016-01-26 23:00:00
624,2016-01-27 00:00:00
625,2016-01-27 01:00:00
626,2016-01-27 02:00:00
627,2016-01-27 03:00:00
628,2016-01-27 04:00:00
629,2016-01-27 05:00:00
630,2016-01-27 06:00:00
631,2016-01-27 07:00:00
632,2016-01-27 08:00:00
633,2016-01-27 09:00:00
634,2016-01-27 10:00:00
635,2016-01-27 11:00:00
636,2016-01-27 12:00:00
637,2016-01-27 13:00:00
638,2016-01-27 14:00:00
639,2016-01-27 15:00:00
640,2016-01-27 16:00:00
641,2016-01-27 17:00:00
642,2016-01-27 18:00:00
643,2016-01-27 19:00:00
644,2016-01-27 20:00:00
645,2016-01-27 21:00:00
646,2016-01-27 22:00:00
647,2016-01-27 23:00:00
648,2016-01-28 00:00:00
649,2016-01-28 01:00:00
650,2016-01-28 02:00:00
651,2016-01-28 03:00:00
652,2016-01-28 04:00:00
653,2016-01-28 05:00:00
654,2016-01-28 06:00:00
655,2016-01-28 07:00:00
656,2016-01-28 08:00:00
657,2016-01-28 09:00:00
658,2016-01-28 10:00:00
659,2016-01-28 11:00:00
